Year,Quarter,Quarter by year,Tourism Receipts,Accommodation,Food & Beverage,Shopping,"Sightseeing, Entertainment & Gaming",Other Components
2023,4Q,2023 4Q,27157.0,4471.0,3976.0,4954.0,5065.0,8690.0
2023,3Q,2023 3Q,20308.0,3338.0,3008.0,3715.0,3691.0,6557.0
2023,2Q,2023 2Q,12446.0,2031.0,1858.0,2321.0,2121.0,4116.0
2023,1Q,2023 1Q,6018.0,1009.0,868.0,1098.0,1007.0,2036.0
2022,4Q,2022 4Q,14178.0,2963.0,1282.0,2784.0,2337.0,4812.0
2022,3Q,2022 3Q,9084.0,1938.0,756.0,1745.0,1568.0,3076.0
2022,2Q,2022 2Q,4573.0,1046.0,367.0,900.0,752.0,1509.0
2022,1Q,2022 1Q,1417.0,500.0,113.0,211.0,162.0,431.0
2021,4Q,2021 4Q,1894.0,580.0,192.0,174.0,223.0,723.0
2021,3Q,2021 3Q,1190.0,333.0,129.0,118.0,132.0,477.0
2021,2Q,2021 2Q,828.0,210.0,93.0,87.0,113.0,324.0
2021,1Q,2021 1Q,425.0,108.0,48.0,45.0,62.0,162.0
2020,4Q,2020 4Q,4830.0,1022.0,454.0,703.0,951.0,1700.0
2020,3Q,2020 3Q,4436.0,905.0,412.0,675.0,909.0,1534.0
2020,2Q,2020 2Q,4187.0,875.0,390.0,664.0,863.0,1396.0
2020,1Q,2020 1Q,4029.0,862.0,376.0,656.0,858.0,1278.0
2019,4Q,2019 4Q,27689.0,5529.0,2497.0,5640.0,5997.0,8026.0
2019,3Q,2019 3Q,20549.0,4090.0,1848.0,4183.0,4404.0,6024.0
2019,2Q,2019 2Q,13166.0,2565.0,1175.0,2757.0,2899.0,3770.0
2019,1Q,2019 1Q,6600.0,1256.0,588.0,1371.0,1457.0,1929.0
2018,4Q,2018 4Q,26942.0,5666.0,2593.0,5385.0,5859.0,7440.0
2018,3Q,2018 3Q,20611.0,4390.0,1946.0,4053.0,4472.0,5749.0
2018,2Q,2018 2Q,13462.0,2933.0,1234.0,2716.0,2952.0,3627.0
2018,1Q,2018 1Q,6868.0,1436.0,630.0,1470.0,1498.0,1834.0
2017,4Q,2017 4Q,26807.0,6016.0,2649.0,6172.0,5618.0,6352.0
2017,3Q,2017 3Q,20346.0,4588.0,2032.0,4727.0,4224.0,4774.0
2017,2Q,2017 2Q,13405.0,2928.0,1405.0,3209.0,2897.0,2966.0
2017,1Q,2017 1Q,6725.0,1525.0,700.0,1611.0,1414.0,1475.0
2016,4Q,2016 4Q,25748.0,5916.0,2787.0,5958.0,5348.0,5739.0
2016,3Q,2016 3Q,19379.0,4513.0,2145.0,4355.0,3981.0,4385.0
2016,2Q,2016 2Q,12269.0,2748.0,1377.0,2716.0,2573.0,2855.0
2016,1Q,2016 1Q,5639.0,1280.0,591.0,1176.0,1199.0,1394.0
2015,4Q,2015 4Q,21777.0,4680.0,2319.0,3913.0,5093.0,5772.0
2015,3Q,2015 3Q,16392.0,3514.0,1723.0,2920.0,3935.0,4301.0
2015,2Q,2015 2Q,10353.0,2179.0,1072.0,1880.0,2594.0,2628.0
2015,1Q,2015 1Q,5314.0,1092.0,532.0,961.0,1372.0,1356.0
2014,4Q,2014 4Q,23560.0,5309.0,2263.0,4116.0,5823.0,6049.0
2014,3Q,2014 3Q,17856.0,4053.0,1705.0,3141.0,4412.0,4546.0
2014,2Q,2014 2Q,11895.0,2687.0,1110.0,2049.0,3092.0,2957.0
2014,1Q,2014 1Q,6216.0,1377.0,576.0,1088.0,1617.0,1558.0
2013,4Q,2013 4Q,23469.0,5332.0,2294.0,4553.0,5471.0,5819.0
2013,3Q,2013 3Q,17789.0,3966.0,1740.0,3482.0,4148.0,4453.0
2013,2Q,2013 2Q,11523.0,2564.0,1139.0,2356.0,2667.0,2798.0
2013,1Q,2013 1Q,5763.0,1283.0,582.0,1175.0,1349.0,1373.0
2012,4Q,2012 4Q,23081.0,5038.0,2246.0,4588.0,5240.0,5970.0
2012,3Q,2012 3Q,17106.0,3758.0,1671.0,3398.0,3791.0,4489.0
2012,2Q,2012 2Q,11521.0,2491.0,1112.0,2305.0,2713.0,2901.0
2012,1Q,2012 1Q,6023.0,1274.0,561.0,1207.0,1513.0,1467.0
2011,4Q,2011 4Q,22277.0,4390.0,2239.0,4489.0,5391.0,5768.0
2011,3Q,2011 3Q,16676.0,3228.0,1675.0,3267.0,4090.0,4416.0
2011,2Q,2011 2Q,10713.0,2119.0,1091.0,2081.0,2619.0,2803.0
2011,1Q,2011 1Q,5370.0,1039.0,546.0,1039.0,1339.0,1407.0
2010,4Q,2010 4Q,18341.0,3623.0,1903.0,3971.0,3423.0,5421.0
2010,3Q,2010 3Q,13203.0,2670.0,1390.0,2898.0,2178.0,4067.0
2010,2Q,2010 2Q,8077.0,1686.0,889.0,1897.0,1030.0,2576.0
2010,1Q,2010 1Q,3603.0,757.0,417.0,942.0,219.0,1269.0
2009,4Q,2009 4Q,12642.0,2839.0,1512.0,3377.0,201.0,4712.0
2009,3Q,2009 3Q,9292.0,2100.0,1104.0,2448.0,151.0,3490.0
2009,2Q,2009 2Q,6090.0,1387.0,727.0,1619.0,101.0,2256.0
2009,1Q,2009 1Q,3154.0,724.0,377.0,852.0,37.0,1164.0
2008,4Q,2008 4Q,15475.0,3608.0,1848.0,3982.0,177.0,5861.0
2008,3Q,2008 3Q,11692.0,2786.0,1399.0,2970.0,113.0,4424.0
2008,2Q,2008 2Q,7636.0,1819.0,916.0,2004.0,72.0,2825.0
2008,1Q,2008 1Q,3857.0,902.0,448.0,1069.0,37.0,1401.0
